date,statement_text,clean_text,forecast_rate_decision,rate_decision,market_reaction_up_or_down,speech_length
20250129,"Recent indicators suggest that economic activity has continued to expand at a solid pace. The unemployment rate has stabilized at a low level in recent months, and labor market conditions remain solid. Inflation remains somewhat elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals are roughly in balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent. In considering the extent and timing of additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michael S. Barr; Michelle W. Bowman; Susan M. Collins; Lisa D. Cook; Austan D. Goolsbee; Philip N. Jefferson; Adriana D. Kugler; Alberto G. Musalem; Jeffrey R. Schmid; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued January 29, 2025","recent indicators suggest that economic activity has continued to expand at a solid pace. the unemployment rate has stabilized at a low level in recent months, and labor market conditions remain solid. inflation remains somewhat elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals are roughly in balance. the economic outlook is uncertain, and the committee is attentive to the risks to both sides of its dual mandate. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent. in considering the extent and timing of additional adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Down,259
20250319,"Recent indicators suggest that economic activity has continued to expand at a solid pace. The unemployment rate has stabilized at a low level in recent months, and labor market conditions remain solid. Inflation remains somewhat elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. Uncertainty around the economic outlook has increased. The Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent. In considering the extent and timing of additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. Beginning in April, the Committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on Treasury securities from $25 billion to $5 billion. The Committee will maintain the monthly redemption cap on agency debt and agency mortgage-backed securities at $35 billion. The Committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Michael S. Barr; Michelle W. Bowman; Susan M. Collins; Lisa D. Cook; Austan D. Goolsbee; Philip N. Jefferson; Adriana D. Kugler; Alberto G. Musalem; and Jeffrey R. Schmid. Voting against this action was Christopher J. Waller, who supported no change for the federal funds target range but preferred to continue the current pace of decline in securities holdings. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued March 19, 2025","recent indicators suggest that economic activity has continued to expand at a solid pace. the unemployment rate has stabilized at a low level in recent months, and labor market conditions remain solid. inflation remains somewhat elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. uncertainty around the economic outlook has increased. the committee is attentive to the risks to both sides of its dual mandate. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 4-1/4 to 4-1/2 percent. in considering the extent and timing of additional adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. beginning in april, the committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on treasury securities from $25 billion to $5 billion. the committee will maintain the monthly redemption cap on agency debt and agency mortgage-backed securities at $35 billion. the committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Up,291
20240131,"Recent indicators suggest that economic activity has been expanding at a solid pace. Job gains have moderated since early last year but remain strong, and the unemployment rate has remained low. Inflation has eased over the past year but remains elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals are moving into better balance. The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; Loretta J. Mester; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued January 31, 2024","recent indicators suggest that economic activity has been expanding at a solid pace. job gains have moderated since early last year but remain strong, and the unemployment rate has remained low. inflation has eased over the past year but remains elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals are moving into better balance. the economic outlook is uncertain, and the committee remains highly attentive to inflation risks. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. in considering any adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Down,287
20240320,"Recent indicators suggest that economic activity has been expanding at a solid pace. Job gains have remained strong, and the unemployment rate has remained low. Inflation has eased over the past year but remains elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals are moving into better balance. The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. The Committee is strongly committed to returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; Loretta J. Mester; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued March 20, 2024","recent indicators suggest that economic activity has been expanding at a solid pace. job gains have remained strong, and the unemployment rate has remained low. inflation has eased over the past year but remains elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals are moving into better balance. the economic outlook is uncertain, and the committee remains highly attentive to inflation risks. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. in considering any adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage-backed securities, as described in its previously announced plans. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Up,281
20240501,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Job gains have remained strong, and the unemployment rate has remained low. Inflation has eased over the past year but remains elevated. In recent months, there has been a lack of further progress toward the Committee's 2 percent inflation objective. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals have moved toward better balance over the past year. The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. Beginning in June, the Committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on Treasury securities from $60 billion to $25 billion. The Committee will maintain the monthly redemption cap on agency debt and agency mortgage‑backed securities at $35 billion and will reinvest any principal payments in excess of this cap into Treasury securities. The Committee is strongly committed to returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; Loretta J. Mester; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued May 1, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. job gains have remained strong, and the unemployment rate has remained low. inflation has eased over the past year but remains elevated. in recent months, there has been a lack of further progress toward the committee's 2 percent inflation objective. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals have moved toward better balance over the past year. the economic outlook is uncertain, and the committee remains highly attentive to inflation risks. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. in considering any adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. beginning in june, the committee will slow the pace of decline of its securities holdings by reducing the monthly redemption cap on treasury securities from $60 billion to $25 billion. the committee will maintain the monthly redemption cap on agency debt and agency mortgage‑backed securities at $35 billion and will reinvest any principal payments in excess of this cap into treasury securities. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Up,359
20240612,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Job gains have remained strong, and the unemployment rate has remained low. Inflation has eased over the past year but remains elevated. In recent months, there has been modest further progress toward the Committee's 2 percent inflation objective. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals have moved toward better balance over the past year. The economic outlook is uncertain, and the Committee remains highly attentive to inflation risks. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; Loretta J. Mester; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued June 12, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. job gains have remained strong, and the unemployment rate has remained low. inflation has eased over the past year but remains elevated. in recent months, there has been modest further progress toward the committee's 2 percent inflation objective. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals have moved toward better balance over the past year. the economic outlook is uncertain, and the committee remains highly attentive to inflation risks. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. in considering any adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Down,295
20240731,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Job gains have moderated, and the unemployment rate has moved up but remains low. Inflation has eased over the past year but remains somewhat elevated. In recent months, there has been some further progress toward the Committee's 2 percent inflation objective. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals continue to move into better balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Austan D. Goolsbee; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller. Austan D. Goolsbee voted as an alternate member at this meeting. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued July 31, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. job gains have moderated, and the unemployment rate has moved up but remains low. inflation has eased over the past year but remains somewhat elevated. in recent months, there has been some further progress toward the committee's 2 percent inflation objective. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals continue to move into better balance. the economic outlook is uncertain, and the committee is attentive to the risks to both sides of its dual mandate. in support of its goals, the committee decided to maintain the target range for the federal funds rate at 5-1/4 to 5-1/2 percent. in considering any adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent. in addition, the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,maintain,Down,301
20240918,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Job gains have slowed, and the unemployment rate has moved up but remains low. Inflation has made further progress toward the Committee's 2 percent objective but remains somewhat elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee has gained greater confidence that inflation is moving sustainably toward 2 percent, and judges that the risks to achieving its employment and inflation goals are roughly in balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In light of the progress on inflation and the balance of risks, the Committee decided to lower the target range for the federal funds rate by 1/2 percentage point to 4-3/4 to 5 percent. In considering additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Lisa D. Cook; Mary C. Daly; Beth M. Hammack; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller. Voting against this action was Michelle W. Bowman, who preferred to lower the target range for the federal funds rate by 1/4 percentage point at this meeting. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued September 18, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. job gains have slowed, and the unemployment rate has moved up but remains low. inflation has made further progress toward the committee's 2 percent objective but remains somewhat elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee has gained greater confidence that inflation is moving sustainably toward 2 percent, and judges that the risks to achieving its employment and inflation goals are roughly in balance. the economic outlook is uncertain, and the committee is attentive to the risks to both sides of its dual mandate. in light of the progress on inflation and the balance of risks, the committee decided to lower the target range for the federal funds rate by 1/2 percentage point to 4-3/4 to 5 percent. in considering additional adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",maintain,lower,Up,285
20241107,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Since earlier in the year, labor market conditions have generally eased, and the unemployment rate has moved up but remains low. Inflation has made progress toward the Committee's 2 percent objective but remains somewhat elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals are roughly in balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to lower the target range for the federal funds rate by 1/4 percentage point to 4-1/2 to 4-3/4 percent. In considering additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Beth M. Hammack; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued November 7, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. since earlier in the year, labor market conditions have generally eased, and the unemployment rate has moved up but remains low. inflation has made progress toward the committee's 2 percent objective but remains somewhat elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals are roughly in balance. the economic outlook is uncertain, and the committee is attentive to the risks to both sides of its dual mandate. in support of its goals, the committee decided to lower the target range for the federal funds rate by 1/4 percentage point to 4-1/2 to 4-3/4 percent. in considering additional adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",lower,lower,Up,271
20241218,"Recent indicators suggest that economic activity has continued to expand at a solid pace. Since earlier in the year, labor market conditions have generally eased, and the unemployment rate has moved up but remains low. Inflation has made progress toward the Committee's 2 percent objective but remains somewhat elevated. The Committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. The Committee judges that the risks to achieving its employment and inflation goals are roughly in balance. The economic outlook is uncertain, and the Committee is attentive to the risks to both sides of its dual mandate. In support of its goals, the Committee decided to lower the target range for the federal funds rate by 1/4 percentage point to 4-1/4 to 4-1/2 percent. In considering the extent and timing of additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks. The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities. The Committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. In assessing the appropriate stance of monetary policy, the Committee will continue to monitor the implications of incoming information for the economic outlook. The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals. The Committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments. Voting for the monetary policy action were Jerome H. Powell, Chair; John C. Williams, Vice Chair; Thomas I. Barkin; Michael S. Barr; Raphael W. Bostic; Michelle W. Bowman; Lisa D. Cook; Mary C. Daly; Philip N. Jefferson; Adriana D. Kugler; and Christopher J. Waller. Voting against the action was Beth M. Hammack, who preferred to maintain the target range for the federal funds rate at 4-1/2 to 4-3/4 percent. For media inquiries, please email [email protected] or call 202-452-2955. Implementation Note issued December 18, 2024","recent indicators suggest that economic activity has continued to expand at a solid pace. since earlier in the year, labor market conditions have generally eased, and the unemployment rate has moved up but remains low. inflation has made progress toward the committee's 2 percent objective but remains somewhat elevated. the committee seeks to achieve maximum employment and inflation at the rate of 2 percent over the longer run. the committee judges that the risks to achieving its employment and inflation goals are roughly in balance. the economic outlook is uncertain, and the committee is attentive to the risks to both sides of its dual mandate. in support of its goals, the committee decided to lower the target range for the federal funds rate by 1/4 percentage point to 4-1/4 to 4-1/2 percent. in considering the extent and timing of additional adjustments to the target range for the federal funds rate, the committee will carefully assess incoming data, the evolving outlook, and the balance of risks. the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage‑backed securities. the committee is strongly committed to supporting maximum employment and returning inflation to its 2 percent objective. in assessing the appropriate stance of monetary policy, the committee will continue to monitor the implications of incoming information for the economic outlook. the committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the committee's goals. the committee's assessments will take into account a wide range of information, including readings on labor market conditions, inflation pressures and inflation expectations, and financial and international developments.",lower,lower,Down,276
